experiment_id,timestamp,instance_id,model,claude_cli_version,condition,prompt_file,system_prompt_hash,claude_session_id,num_turns,duration_ms,output_tokens,input_tokens_fresh,cache_creation_tokens,cache_read_tokens,cost_usd,stop_reason,session_transcript_path,patch_lines,patch_files_changed,patch_sha256,grader_run_id,grader_timestamp,patch_applied,resolved,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,failed_tests,notes
exp_20260420_222746_3ed46422,2026-04-20T22:27:46Z,instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336,claude-haiku-4-5,2.1.116 (Claude Code),caveman-ultra,prompts/instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336.txt,sha256:ece91955619f2371,3ed46422-93bb-4647-ac4e-fb172e2eaa9a,21,88771,6599,170,54592,869190,0.189557,end_turn,sessions/instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336__caveman-ultra__3ed46422.jsonl,106,1,sha256:ced146c10c2dd1c4,grade_instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336__caveman-ultra__3ed46422,2026-04-20T22:27:46Z,True,True,1,0,0,0,,pro pilot (backfill)
exp_20260420_224526_28ec5c0d,2026-04-20T22:45:26Z,instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336,claude-haiku-4-5,2.1.116 (Claude Code),baseline,/Users/mugen/Codebase/caveman/prompts/instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336.txt,,28ec5c0d-9317-4ffd-b0a3-86d621fc9772,22,88587,7143,247,52172,763128,0.1787228,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336__baseline__28ec5c0d.jsonl,94,1,sha256:c94921fd68f0b28a,grade_instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336__baseline__28ec5c0d,2026-04-20T22:45:26Z,True,True,1,0,0,0,,pro pilot
exp_20260420_225920_0d4700eb,2026-04-20T22:59:20Z,instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,claude-haiku-4-5,2.1.116 (Claude Code),baseline,/Users/mugen/Codebase/caveman/prompts/instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed.txt,,0d4700eb-b831-45e9-9ae8-45d733662ed0,69,295140,20929,554,83475,4504886,0.6611213500000004,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed__baseline__0d4700eb.jsonl,110,6,sha256:90038407bce15e48,grade_instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed__baseline__0d4700eb,2026-04-20T22:59:20Z,True,True,1,0,173,0,,pro pilot
exp_20260420_230326_a5c43500,2026-04-20T23:03:26Z,instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,claude-haiku-4-5,2.1.116 (Claude Code),caveman-ultra,/Users/mugen/Codebase/caveman/prompts/instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed.txt,sha256:ece91955619f2371,a5c43500-eb8c-4bc9-8cb3-10f27bfd3077,56,189888,12004,450,44547,2716816,0.38892535,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed__caveman-ultra__a5c43500.jsonl,71,4,sha256:38081744af3e3da1,grade_instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed__caveman-ultra__a5c43500,2026-04-20T23:03:26Z,True,True,1,0,173,0,,pro pilot
exp_20260420_230327_6ffde576,2026-04-20T23:03:27Z,instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,claude-haiku-4-5,2.1.116 (Claude Code),baseline,/Users/mugen/Codebase/caveman/prompts/instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86.txt,,6ffde576-17b8-4a7e-a132-c84621ade32a,58,483700,21143,466,74862,4155732,0.6166267000000002,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86__baseline__6ffde576.jsonl,56,1,sha256:72fab8fb9255caa8,grade_instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86__baseline__6ffde576,2026-04-20T23:03:27Z,True,True,1,0,22,0,,pro pilot
exp_20260420_230533_bef916a0,2026-04-20T23:05:33Z,instance_qutebrowser__qutebrowser-7b603dd6bf195e3e723ce08ff64a82b406e3f6b6-v9f8e9d96c85c85a605e382f1510bd08563afc566,claude-haiku-4-5,2.1.116 (Claude Code),baseline,/Users/mugen/Codebase/caveman/prompts/instance_qutebrowser__qutebrowser-7b603dd6bf195e3e723ce08ff64a82b406e3f6b6-v9f8e9d96c85c85a605e382f1510bd08563afc566.txt,,bef916a0-893c-4a52-a6b2-3bc6aafae988,53,752181,25967,426,73081,3492105,0.57213575,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_qutebrowser__qutebrowser-7b603dd6bf195e3e723ce08ff64a82b406e3f6b6-v9f8e9d96c85c85a605e382f1510bd08563afc566__baseline__bef916a0.jsonl,107,1,sha256:ed5de1d192e5a011,grade_instance_qutebrowser__qutebrowser-7b603dd6bf195e3e723ce08ff64a82b406e3f6b6-v9f8e9d96c85c85a605e382f1510bd08563afc566__baseline__bef916a0,2026-04-20T23:05:33Z,True,True,14,0,6,0,,pro pilot
exp_20260420_230652_fbe061df,2026-04-20T23:06:52Z,instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,claude-haiku-4-5,2.1.116 (Claude Code),caveman-ultra,/Users/mugen/Codebase/caveman/prompts/instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86.txt,sha256:ece91955619f2371,fbe061df-0e5e-42b8-9cc7-0d711f75841b,23,150786,10221,186,53359,1385616,0.25784635,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86__caveman-ultra__fbe061df.jsonl,47,1,sha256:a2af848ece401ce8,grade_instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86__caveman-ultra__fbe061df,2026-04-20T23:06:52Z,True,True,1,0,22,0,,pro pilot
exp_20260420_230959_ced0de64,2026-04-20T23:09:59Z,instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a,claude-haiku-4-5,2.1.116 (Claude Code),baseline,/Users/mugen/Codebase/caveman/prompts/instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a.txt,,ced0de64-6085-4ae7-842c-8ac6eb108984,33,193900,15916,266,57381,1863025,0.33940375000000006,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a__baseline__ced0de64.jsonl,78,1,sha256:4eb234cbfcb09ad8,grade_instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a__baseline__ced0de64,2026-04-20T23:09:59Z,True,True,1,0,39,0,,pro pilot
exp_20260420_231310_5431f28a,2026-04-20T23:13:10Z,instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a,claude-haiku-4-5,2.1.116 (Claude Code),caveman-ultra,/Users/mugen/Codebase/caveman/prompts/instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a.txt,sha256:ece91955619f2371,5431f28a-4ba1-4074-9e6a-0eaccb32a7c5,30,164589,15421,242,53218,1738899,0.31926839999999995,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a__caveman-ultra__5431f28a.jsonl,85,1,sha256:fd1f9c0b487c3d86,grade_instance_qutebrowser__qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a__caveman-ultra__5431f28a,2026-04-20T23:13:10Z,True,True,1,0,39,0,,pro pilot
exp_20260420_231448_0d4715be,2026-04-20T23:14:48Z,instance_qutebrowser__qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a,claude-haiku-4-5,2.1.116 (Claude Code),baseline,/Users/mugen/Codebase/caveman/prompts/instance_qutebrowser__qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a.txt,,0d4715be-0a75-41d8-b24f-65dd8d21cc17,34,385224,16047,274,54095,1961752,0.34517195,end_turn,/Users/mugen/Codebase/caveman/sessions/instance_qutebrowser__qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a__baseline__0d4715be.jsonl,80,1,sha256:33e1bb31c65a1715,grade_instance_qutebrowser__qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a__baseline__0d4715be,2026-04-20T23:14:48Z,True,True,4,0,36,0,,pro pilot
