difficulty_rank,instance_id,repo,language,fraction_solved,n_solved,n_models_attempted,claude_45sonnet_passed,claude_opus_4_1_passed,patch_loc,files_changed,fail_to_pass_count,problem_statement_len
100,instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336,navidrome/navidrome,go,0.625,5,8,True,True,51,1,1,1086
101,instance_qutebrowser__qutebrowser-7b603dd6bf195e3e723ce08ff64a82b406e3f6b6-v9f8e9d96c85c85a605e382f1510bd08563afc566,qutebrowser/qutebrowser,python,0.625,5,8,True,True,60,1,1,1166
102,instance_gravitational__teleport-32bcd71591c234f0d8b091ec01f1f5cbfdc0f13c-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0.625,5,8,True,True,63,4,1,891
103,instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,python,0.625,5,8,True,True,72,3,1,931
104,instance_protonmail__webclients-0200ce0fc1d4dbd35178c10d440a284c82ecc858,protonmail/webclients,js,0.625,5,8,True,False,86,1,1,562
105,instance_navidrome__navidrome-677d9947f302c9f7bba8c08c788c3dc99f235f39,navidrome/navidrome,go,0.625,5,8,True,True,107,8,1,645
106,instance_internetarchive__openlibrary-e390c1212055dd84a262a798e53487e771d3fb64-v8717e18970bcdc4e0d2cea3b1527752b21e74866,internetarchive/openlibrary,python,0.625,5,8,True,True,123,1,1,1381
107,instance_protonmail__webclients-3a6790f480309130b5d6332dce6c9d5ccca13ee3,protonmail/webclients,js,0.625,5,8,True,False,207,10,1,1091
108,instance_protonmail__webclients-dfe5604193d63bfcb91ce60d62db2f805c43bf11,protonmail/webclients,js,0.625,5,8,True,True,406,2,1,1499
109,instance_protonmail__webclients-e9677f6c46d5ea7d277a4532a4bf90074f125f31,protonmail/webclients,js,0.5714285714285714,4,7,False,True,32,3,1,1509
110,instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,python,0.5714285714285714,4,7,True,,35,2,1,1769
111,instance_qutebrowser__qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a,qutebrowser/qutebrowser,python,0.5714285714285714,4,7,True,,46,2,1,786
112,instance_qutebrowser__qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,python,0.5714285714285714,4,7,True,,48,5,1,606
113,instance_qutebrowser__qutebrowser-46e6839e21d9ff72abb6c5d49d5abaa5a8da8a81-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,python,0.5714285714285714,4,7,True,,50,5,1,1079
114,instance_gravitational__teleport-73cc189b0e9636d418c4470ecce0d9af5dae2f02-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0.5714285714285714,4,7,True,True,62,1,1,782
115,instance_qutebrowser__qutebrowser-bf045f7ec7c27709ea3ef61cf41a24e8fdd2e7da-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,qutebrowser/qutebrowser,python,0.5714285714285714,4,7,True,,74,1,1,1305
116,instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,python,0.5714285714285714,4,7,True,,89,6,1,1090
117,instance_qutebrowser__qutebrowser-ef5ba1a0360b39f9eff027fbdc57f363597c3c3b-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,python,0.5714285714285714,4,7,True,,102,4,1,858
118,instance_protonmail__webclients-4feccbc9990980aee26ea29035f8f931d6089895,protonmail/webclients,js,0.5714285714285714,4,7,True,True,103,3,1,1564
